Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production - Annuels","119","Lettonie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1690.6","","Donnée officielle"
"PP","Prix à la Production - Annuels","154","l'ex-République yougoslave de Macédoine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","778.8","","Donnée officielle"
"PP","Prix à la Production - Annuels","121","Liban","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1839.5","","Donnée officielle"
"PP","Prix à la Production - Annuels","126","Lituanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1320.5","","Donnée officielle"
"PP","Prix à la Production - Annuels","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","5377.3","","Donnée officielle"
"PP","Prix à la Production - Annuels","131","Malaisie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1510.7","","Donnée officielle"
"PP","Prix à la Production - Annuels","130","Malawi","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","3941.2","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","133","Mali","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","4388.7","","Donnée officielle"
"PP","Prix à la Production - Annuels","134","Malte","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1307.4","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","137","Maurice","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1662.1","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","138","Mexique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1613.9","","Donnée officielle"
"PP","Prix à la Production - Annuels","144","Mozambique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","4089.4","","Donnée officielle"
"PP","Prix à la Production - Annuels","149","Népal","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2021.3","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","162","Norvège","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2522.5","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","156","Nouvelle-Zélande","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1582.7","","Donnée officielle"
"PP","Prix à la Production - Annuels","166","Panama","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","4545.1","","Donnée officielle"
"PP","Prix à la Production - Annuels","150","Pays-Bas","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1223.2","","Donnée officielle"
"PP","Prix à la Production - Annuels","170","Pérou","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1759.2","","Donnée officielle"
"PP","Prix à la Production - Annuels","171","Philippines","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2052.5","","Donnée officielle"
"PP","Prix à la Production - Annuels","173","Pologne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1224.8","","Donnée officielle"
"PP","Prix à la Production - Annuels","177","Porto Rico","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","806.3","","Donnée officielle"
"PP","Prix à la Production - Annuels","174","Portugal","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","634.5","","Donnée officielle"
"PP","Prix à la Production - Annuels","146","République de Moldova","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1660.1","","Donnée officielle"
"PP","Prix à la Production - Annuels","120","République démocratique populaire lao","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","3946.7","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","183","Roumanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1505.4","","Donnée officielle"
"PP","Prix à la Production - Annuels","184","Rwanda","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","4380.7","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","191","Saint-Vincent-et-les Grenadines","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","3347.8","","Donnée officielle"
"PP","Prix à la Production - Annuels","272","Serbie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1563.3","","Donnée officielle"
"PP","Prix à la Production - Annuels","197","Sierra Leone","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","5348","","Donnée officielle"
"PP","Prix à la Production - Annuels","199","Slovaquie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1325.8","","Donnée officielle"
"PP","Prix à la Production - Annuels","198","Slovénie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1567.9","","Donnée officielle"
"PP","Prix à la Production - Annuels","38","Sri Lanka","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1404.3","F","Estimation FAO"
"PP","Prix à la Production - Annuels","211","Suisse","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2661.5","","Donnée officielle"
"PP","Prix à la Production - Annuels","207","Suriname","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","3469.7","","Donnée officielle"
"PP","Prix à la Production - Annuels","167","Tchéquie (la)","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1264.2","","Donnée officielle"
"PP","Prix à la Production - Annuels","216","Thaïlande","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1407.6","","Donnée officielle"
"PP","Prix à la Production - Annuels","217","Togo","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","7509.2","F","Estimation FAO"
"PP","Prix à la Production - Annuels","222","Tunisie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2031.2","","Donnée officielle"
"PP","Prix à la Production - Annuels","223","Turquie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","4281.2","","Donnée officielle"
"PP","Prix à la Production - Annuels","230","Ukraine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1523","","Donnée officielle"
"PP","Prix à la Production - Annuels","234","Uruguay","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1562.4","","Donnée officielle"
"PP","Prix à la Production - Annuels","236","Venezuela (République bolivarienne du)","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","3199.4","","Donnée officielle"
"PP","Prix à la Production - Annuels","237","Viet Nam","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","3763","Fc","Donnée calculée"
